"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","counts","353","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"No_change","Q7_1_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_how_would_this_impact_prices_of_products_in_your_shop","percentage","86.1","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","10","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"Dont_know","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","2.44","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","21","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"no","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","5.12","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","counts","379","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"yes","Q7_2_if_the_number_of_customers_visiting_your_shop_were_to_rise_by_50_or_more_would_you_be_able_to_handle_the_increase_in_business","percentage","92.44","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","128","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_will_have_more_profit_and_capital_to_allow_more_flexibility_to_restock","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","33.77","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","128","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_extra_employees_to_cope_with_this_extra_demand","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","33.77","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","99","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_need_to_find_new_suppliers","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","26.12","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_prices_would_likely_increase","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","3","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_prices_would_likely_increase","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","0.79","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","counts","252","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"using_the_same_suppliers_I_currently_work_with","Q7_3_how_would_you_handle_the_increase_in_the_business_yes","percentage","66.49","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"depleting_stocks_will_cause_my_regular_supply_timetable_will_be_disrupted","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","1","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"depleting_stocks_will_cause_my_regular_supply_timetable_will_be_disrupted","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","4.76","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","15","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_cannot_afford_to_employ_extra_employees_to_cope_with_this_increase_in_demand","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","71.43","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_find_it_difficult_to_keep_my_products_in_stock","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","10","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"I_would_find_it_difficult_to_keep_my_products_in_stock","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","47.62","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_shop_has_no_space_for_extra_customers","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","counts","9","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
"the_shop_has_no_space_for_extra_customers","Q7_4_why_wont_you_be_able_to_handle_the_increase_in_the_business_no","percentage","42.86","Increased Customer Base Impact on Market","Overall","Additional RQ requested-not reflected on the TOR","count and percentage"
